name,type_name,parent,status,rank,address
Mesoflavibacter,Mesoflavibacter,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/mesoflavibacter
Oscillibacter,Oscillibacter,Oscillospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/oscillibacter
Catenibacterium,Catenibacterium,Coprobacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/catenibacterium
Desulfovibrio,Desulfovibrio,Desulfovibrionaceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfovibrio
Ferruginibacter,Ferruginibacter,Chitinophagaceae,correct name,genus,https://lpsn.dsmz.de/genus/ferruginibacter
Phreatobacter,Phreatobacter,Phreatobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/phreatobacter
Fluviispira,Fluviispira,Silvanigrellaceae,correct name,genus,https://lpsn.dsmz.de/genus/fluviispira
Lachnobacterium,Lachnobacterium,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/lachnobacterium
Fastidiosibacter,Fastidiosibacter,Fastidiosibacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/fastidiosibacter
Salicola,Salicola,[Oceanospirillales; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/salicola
Vespertiliibacter,Vespertiliibacter,Pasteurellaceae,correct name,genus,https://lpsn.dsmz.de/genus/vespertiliibacter
Morococcus,Morococcus,Neisseriaceae,correct name,genus,https://lpsn.dsmz.de/genus/morococcus
Mycoplasmopsis,Mycoplasmopsis,Metamycoplasmataceae,correct name,genus,https://lpsn.dsmz.de/genus/mycoplasmopsis
Filomicrobium,Filomicrobium,Hyphomicrobiaceae,correct name,genus,https://lpsn.dsmz.de/genus/filomicrobium
Hydrogenibacillus,Hydrogenibacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/hydrogenibacillus
Taibaiella,Taibaiella,Chitinophagaceae,correct name,genus,https://lpsn.dsmz.de/genus/taibaiella
Shinella,Shinella,Rhizobiaceae,correct name,genus,https://lpsn.dsmz.de/genus/shinella
